"","X","full_name","rating","jersey","team","position","b_day","metros","kilos","salary","country","draft_year","draft_round","draft_peak","college"
"316",316,"Nassir Little",73,9,"Portland Trail Blazers","F",2000-02-11,1.96,99.8,2105520,"USA",2019,1,25,"North Carolina"
"317",317,"Grayson Allen",72,3,"Memphis Grizzlies","G",1995-10-08,1.93,93,2429400,"USA",2018,1,21,"Duke"
"318",318,"Antonio Blakeney",72,0,"No_Team","G-F",1996-10-04,1.93,89.4,1488231,"USA",2017,3,0,"LSU"
"319",319,"Michael Carter-Williams",72,7,"Orlando Magic","G",1991-10-10,1.96,83.5,2028594,"USA",2013,1,11,"Syracuse"
"320",320,"Troy Daniels",72,30,"Denver Nuggets","G",1991-07-15,1.93,90.7,2487033,"USA",2013,3,0,"VCU"
"321",321,"Donte DiVincenzo",72,0,"Milwaukee Bucks","G",1997-01-31,1.93,93,2905800,"USA",2018,1,17,"Villanova"
"322",322,"Jared Dudley",72,10,"Los Angeles Lakers","F",1985-07-10,1.98,102.1,2564753,"USA",2007,1,22,"Boston College"
"323",323,"Cristiano Felicio",72,6,"Chicago Bulls","F",1992-07-07,2.08,122.5,8156500,"Brazil",2014,3,0,"Studied Abroad"
"324",324,"Tim Frazier",72,0,"No_Team","G",1990-11-01,1.83,77.1,1620564,"USA",2014,3,0,"Penn State"
"325",325,"Langston Galloway",72,9,"Detroit Pistons","G",1991-12-09,1.85,91.6,7333333,"USA",2014,3,0,"Saint Joseph's"
"326",326,"Justin Holiday",72,8,"Indiana Pacers","G",1989-04-05,1.98,81.6,4767000,"USA",2011,3,0,"Washington"
"327",327,"Chandler Hutchison",72,15,"Chicago Bulls","F",1996-04-26,2.01,88.9,2332320,"USA",2018,1,22,"Boise State"
"328",328,"Wesley Iwundu",72,25,"Orlando Magic","F",1994-12-20,1.98,93,1618520,"USA",2017,2,33,"Kansas State"
"329",329,"Brandon Knight",72,0,"Detroit Pistons","G",1991-12-02,1.88,85.7,15643750,"USA",2011,1,8,"Kentucky"
"330",330,"Courtney Lee",72,1,"Dallas Mavericks","G-F",1985-10-03,1.96,90.7,12759670,"USA",2008,1,22,"Western Kentucky"
"331",331,"Thon Maker",72,7,"Detroit Pistons","F-C",1997-02-25,2.13,98,3569643,"Australia",2016,1,10,"Studied Abroad"
"332",332,"Patrick McCaw",72,22,"Toronto Raptors","G",1995-10-25,2.01,82.1,4e+06,"USA",2016,2,38,"UNLV"
"333",333,"Rodney McGruder",72,19,"Los Angeles Clippers","G",1991-07-29,1.93,93,4807693,"USA",2013,3,0,"Kansas State"
"334",334,"Darius Miller",72,21,"New Orleans Pelicans","F",1990-03-21,1.98,102.1,7250000,"USA",2012,2,46,"Kentucky"
